receipt_number,date,time,cust_id,cust_full_name,cust_phone,cust_email,cust_gender,cust_birthdate,user_registration,cust_address_id,cust_city,cust_state,cust_postal_code,cust_street_num,cust_street_name,cust_build_num,promo_distr_id,promo_distr,promo_type_id,promo_type,promo_id,promo,promo_discount%,medicine_id,medicine,cat_id,category,subcategory,brand_id,brand,supplier_id,supplier,supplier_phone,supplier_email,cost,price,quantity,sales_amount
71040,2022-01-08,13:48:26,1171,Violet Morris,5363875427,lauraperez@gmail.org,male,1961-07-12,2019-01-07,1095,hampton,virginia,23664,119,grand view drive,680,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,898,Erythromycin tablet 325 mg 10 pcs,38,Gastrointestinal stimulant,Cholinergic,112,GlaxoSmithKline,5684,MediSupply, 777-333-1111,,58.85,66.5,2,133.0
71040,2022-01-08,13:48:26,1171,Violet Morris,5363875427,lauraperez@gmail.org,male,1961-07-12,2019-01-07,1095,hampton,virginia,23664,119,grand view drive,680,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,951,Vinblastine tablet 325 mg 10 pcs,41,Chemotherapy drug,Anthracycline,118,Bayer,5678,PharmaMart, 555-123-4567,oficial@pharmamart.com,29.87,34.35,2,68.7
71040,2022-01-08,13:48:26,1171,Violet Morris,5363875427,lauraperez@gmail.org,male,1961-07-12,2019-01-07,1095,hampton,virginia,23664,119,grand view drive,680,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1012,Atenolol tablet 100 mg 40 pcs,45,Beta blocker,Blockers,128,Biogen,5687,PharmaPlus, 278-599-3333,info@pharmaplus.com,21.95,25.68,3,77.04
71063,2022-01-08,14:51:25,264,Eva Jenkins,662-640-8159,madisonsparks@gmail.org,female,1983-10-04,2021-06-26,173,fort myers,fl,33908,17170,harbour pointe dr 602,240,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,323,Acetylsalicylic acid tablet 100 mg 60 pcs,7,Anticoagulant,Coagulant,104,BioPlus Therapeutics,5680,TrustedMeds, 123-456-7890,oficial@trustedmeds.com,21.09,27.42,1,27.42
71063,2022-01-08,14:51:25,264,Eva Jenkins,662-640-8159,madisonsparks@gmail.org,female,1983-10-04,2021-06-26,173,fort myers,fl,33908,17170,harbour pointe dr 602,240,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,671,Albuterol inhaler 1 pcs,26,Bronchodilator,Bronchodilator,116,Sanofi,5688,ReliableMeds, 123-456-7899,oficial@reliablemeds.com,30.42,36.5,2,73.0
71063,2022-01-08,14:51:25,264,Eva Jenkins,662-640-8159,madisonsparks@gmail.org,female,1983-10-04,2021-06-26,173,fort myers,fl,33908,17170,harbour pointe dr 602,240,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1072,Dorzolamide solution 200 ml,48,Ophthalmic drug,Fluoroquinolone,107,AlphaGen Laboratories,5680,TrustedMeds, 123-456-7890,oficial@trustedmeds.com,39.81,44.59,1,44.59
71104,2022-01-08,16:24:06,17,Steven Campbell,214-977-6234,wendy96@gmail.org,male,1997-08-23,2019-11-06,23,port charlotte,fl,33983,1215,harbour vista ct,125,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,477,Diltiazem tablet 15 mg 60 pcs,15,Antihypertensive,Blocker,86,FutureMed Sciences,5681,HealthPro, 987-654-3210,oficial@healthpro.com,34.53,38.33,2,76.66
71188,2022-01-08,19:45:25,135,Jason Bell,001-843-629-7339,cummingsrussell@gmail.org,female,1973-03-07,2018-06-01,29,kendall,fl,33165,1812,sw 104th pl,66,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,320,Lepirudin injection 10 mg 20 pcs,7,Anticoagulant,Inhibitor,128,Biogen,5688,ReliableMeds, 123-456-7899,oficial@reliablemeds.com,40.41,46.88,3,140.64
71188,2022-01-08,19:45:25,135,Jason Bell,001-843-629-7339,cummingsrussell@gmail.org,female,1973-03-07,2018-06-01,29,kendall,fl,33165,1812,sw 104th pl,66,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,711,Torsemide tablet 80 mg 100 pcs,28,Diuretic,Diuretic,114,Roche,5682,PharmaDirect, 693059-8976,sales_department@pharmadirect.com,42.24,52.38,2,104.76
71188,2022-01-08,19:45:25,135,Jason Bell,001-843-629-7339,cummingsrussell@gmail.org,female,1973-03-07,2018-06-01,29,kendall,fl,33165,1812,sw 104th pl,66,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1019,Acebutolol tablet 250 mg 10 pcs,45,Beta blocker,Blockers,125,Boehringer Ingelheim,5683,CareRx, 222-888-9799,oficial@carerx.com,51.39,65.27,2,130.54
71315,2022-01-09,02:56:48,367,Sophia Green,001-653-369-2498x222,myersdonna@gmail.net,female,1996-05-29,2021-03-12,125,yulee,fl,32097,85520,miner rd,249,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,833,Phillips' Milk of Magnesia liquid suspension 150 ml,34,Laxative,Laxative,81,WellCare Innovations,5688,ReliableMeds, 123-456-7899,oficial@reliablemeds.com,55.07,66.08,1,66.08
71616,2022-01-09,19:39:34,297,Natalie Martinez,+1-257-987-7545x7184,radams@gmail.net,female,2000-02-18,2021-04-05,922,virginia beach,virginia,23456,,wisdom arch,9,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,709,Spironolactone tablet 200 mg 50 pcs,28,Diuretic,Diuretic,127,Amgen,5681,HealthPro, 987-654-3210,oficial@healthpro.com,36.29,46.81,2,93.62
71868,2022-01-10,06:17:47,1274,Zachary Cox,278-900-3498x92733,richardsonlydia@gmail.com,female,1978-08-14,2021-01-09,1032,norfolk,virginia,23502,905,dogwood terrace,238,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1147,Levodopa tablet 400 mg 10 pcs,52,Anti-Parkinson's drug,Precursors,112,GlaxoSmithKline,5678,PharmaMart, 555-123-4567,oficial@pharmamart.com,17.82,20.49,3,61.47
72037,2022-01-10,11:59:00,212,Elizabeth Hall,431.667.5380x249,karahammond@gmail.org,female,1958-10-04,2017-01-10,965,james city county,virginia,23185,102,anthony wayne roa,83,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1107,Theophylline tablet 100 mg 50 pcs,49,Respiratory system drug,Immunosuppressant,78,ApexBio Pharmaceuticals,5682,PharmaDirect, 693059-8976,sales_department@pharmadirect.com,39.48,49.74,1,49.74
72037,2022-01-10,11:59:00,212,Elizabeth Hall,431.667.5380x249,karahammond@gmail.org,female,1958-10-04,2017-01-10,965,james city county,virginia,23185,102,anthony wayne roa,83,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1292,Vitamin Q (Coenzyme Q10) tablet 10 mg 50 pcs,60,Vitamin,Vitamins,120,AbbVie,5681,HealthPro, 987-654-3210,oficial@healthpro.com,53.56,61.06,2,122.12
72118,2022-01-10,14:42:57,1473,Evelyn Salazar,218-234-5710,osimmons@gmail.net,female,1970-09-23,2020-02-21,1042,york cty,virginia,23692,120,court road,223,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,491,Cyclizine tablet 200 mg 50 pcs,16,Antinauseant,Antinauseant,76,Vitality Labs,5682,PharmaDirect, 693059-8976,sales_department@pharmadirect.com,67.53,85.76,3,257.28
72118,2022-01-10,14:42:57,1473,Evelyn Salazar,218-234-5710,osimmons@gmail.net,female,1970-09-23,2020-02-21,1042,york cty,virginia,23692,120,court road,223,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1053,Gabapentin tablet 15 mg 50 pcs,47,Antispastic agent,Anticonvulsants,76,Vitality Labs,5683,CareRx, 222-888-9799,oficial@carerx.com,6.98,8.59,3,25.77
72118,2022-01-10,14:42:57,1473,Evelyn Salazar,218-234-5710,osimmons@gmail.net,female,1970-09-23,2020-02-21,1042,york cty,virginia,23692,120,court road,223,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1110,Hydrochlorothiazide tablet 5 mg 30 pcs,50,Urinary system drug,Fluoroquinolone,88,TrueVita Pharmaceuticals,5684,MediSupply, 777-333-1111,,17.54,19.64,3,58.92
72510,2022-01-11,05:41:05,763,Andrew Young,+1-726-465-0211x9665,kdudley@gmail.net,male,1963-01-21,2020-09-02,911,norfolk,virginia,23464,517,hunts pointe drv,326,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,552,Trospium tablet 200 mg 40 pcs,19,Antispasmodic,Antispasmodic,124,Teva Pharmaceutical Industries,5681,HealthPro, 987-654-3210,oficial@healthpro.com,38.02,42.2,1,42.2
72510,2022-01-11,05:41:05,763,Andrew Young,+1-726-465-0211x9665,kdudley@gmail.net,male,1963-01-21,2020-09-02,911,norfolk,virginia,23464,517,hunts pointe drv,326,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,614,Budesonide inhaler 2 pcs,23,Antiasthmatic,Corticosteroid,124,Teva Pharmaceutical Industries,5688,ReliableMeds, 123-456-7899,oficial@reliablemeds.com,57.63,73.19,1,73.19
73328,2022-01-12,12:19:49,145,Richard Green,800-246-0938,charles92@gmail.com,female,1959-07-14,2017-10-08,421,new york cty,n.y,11427,88-19,211th street,220,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1154,Rasagiline tablet 20 mg 50 pcs,52,Anti-Parkinson's drug,Inhibitor,83,BioGenix Therapeutics,5686,MedPro, 905-568-3333,general@medpro.com,17.89,22.54,1,22.54
73328,2022-01-12,12:19:49,145,Richard Green,800-246-0938,charles92@gmail.com,female,1959-07-14,2017-10-08,421,new york cty,n.y,11427,88-19,211th street,220,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1185,Sulfasalazine tablet 10 mg 30 pcs,54,Antirheumatic drug,Immunosuppressants,101,CureTech Laboratories,5680,TrustedMeds, 123-456-7890,oficial@trustedmeds.com,34.13,39.25,1,39.25
73464,2022-01-12,15:57:17,1713,Hazel Barnes,448.644.5206x40603,petersrebekah@gmail.net,male,1990-10-11,2017-11-04,399,new york cty,n.y,11206,,ten eyck street,725,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,794,Emergency contraceptive pill tablet 20 mg 30 pcs,32,Hormonal contraceptive,Contraceptives,128,Biogen,5678,PharmaMart, 555-123-4567,oficial@pharmamart.com,49.2,63.47,3,190.41
73464,2022-01-12,15:57:17,1713,Hazel Barnes,448.644.5206x40603,petersrebekah@gmail.net,male,1990-10-11,2017-11-04,399,new york cty,n.y,11206,,ten eyck street,725,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1012,Atenolol tablet 100 mg 40 pcs,45,Beta blocker,Blockers,128,Biogen,5682,PharmaDirect, 693059-8976,sales_department@pharmadirect.com,19.87,24.44,1,24.44
73464,2022-01-12,15:57:17,1713,Hazel Barnes,448.644.5206x40603,petersrebekah@gmail.net,male,1990-10-11,2017-11-04,399,new york cty,n.y,11206,,ten eyck street,725,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1142,Pregabalin capsule 325 mg 50 pcs,51,Central nervous system drug,Anticonvulsant,105,MedVantage Labs,5682,PharmaDirect, 693059-8976,sales_department@pharmadirect.com,13.42,16.77,1,16.77
73678,2022-01-12,22:01:04,194,John Miller,591-308-6401x04152,martinsarah@gmail.org,female,1957-05-15,2020-04-07,464,nyc,n.y,10310,4,mathews avenue,93,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,498,Ginger capsules capsule 100 mg 50 pcs,16,Antinauseant,Antiemetics,77,LifePharma Solutions,5687,PharmaPlus, 278-599-3333,info@pharmaplus.com,23.56,27.8,1,27.8
73828,2022-01-13,03:42:10,1511,Xavier Butler,(625)842-3051x801,ncordova@gmail.net,male,1962-10-02,2021-07-04,150,st. petersburg,fl,33712,3000,14th ave s,529,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,310,Rivaroxaban tablet 50 mg 60 pcs,7,Anticoagulant,Anticoagulant,106,NeoCure Pharmaceuticals,5681,HealthPro, 987-654-3210,oficial@healthpro.com,60.11,73.33,1,73.33
73828,2022-01-13,03:42:10,1511,Xavier Butler,(625)842-3051x801,ncordova@gmail.net,male,1962-10-02,2021-07-04,150,st. petersburg,fl,33712,3000,14th ave s,529,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,425,Miconazole tablet 400 mg 100 pcs,13,Antifungal,Azoles,87,OmniCure Pharmaceuticals,5691,MediSave, 344-654-3333,oficial@medisave.com,30.23,39.3,2,78.6
73828,2022-01-13,03:42:10,1511,Xavier Butler,(625)842-3051x801,ncordova@gmail.net,male,1962-10-02,2021-07-04,150,st. petersburg,fl,33712,3000,14th ave s,529,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1297,Vitamin V (Carnitine) tablet 50 mg 20 pcs,60,Vitamin,Vitamins,94,PureLife Labs,5688,ReliableMeds, 123-456-7899,oficial@reliablemeds.com,17.42,20.9,1,20.9
74010,2022-01-13,08:40:41,1568,Aiden Scott,001-360-733-8625x084,cooperdevin@gmail.com,male,1977-03-12,2021-11-22,744,irvine,california,92618,,keepsake,698,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,279,Pepcid tablet 400 mg 60 pcs,5,Antacid,Antagonist,77,LifePharma Solutions,5683,CareRx, 222-888-9799,oficial@carerx.com,21.28,27.03,2,54.06
74010,2022-01-13,08:40:41,1568,Aiden Scott,001-360-733-8625x084,cooperdevin@gmail.com,male,1977-03-12,2021-11-22,744,irvine,california,92618,,keepsake,698,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,602,Omega-3 Fatty Acids tablet 200 mg 100 pcs,22,Antihyperlipidemic medication,Sequestrant,92,OptimaCare Pharmaceuticals,5688,ReliableMeds, 123-456-7899,oficial@reliablemeds.com,44.31,50.51,2,101.02
74010,2022-01-13,08:40:41,1568,Aiden Scott,001-360-733-8625x084,cooperdevin@gmail.com,male,1977-03-12,2021-11-22,744,irvine,california,92618,,keepsake,698,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,706,Halobetaso tablet 400 mg 20 pcs,27,Corticosteroid,Glucocorticoid,109,FutureCure PharmaTech,5682,PharmaDirect, 693059-8976,sales_department@pharmadirect.com,51.49,62.3,3,186.9
74338,2022-01-13,19:37:02,967,Zoey Butler,272.445.7201x1682,broy@gmail.com,female,1957-02-08,2019-08-16,529,new york city,n.y,10301,30,city boulevard,465,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,859,Lunesta tablet 20 mg 40 pcs,36,Sleeping aid,Hypnotic,90,NeoGen PharmaTech,5690,MedWorks, 777-888-0678,oficial@medworks.com,18.7,22.25,3,66.75
74854,2022-01-14,12:30:09,1530,Olivia Mitchell,001-374-613-8477x62981,kristinflores@gmail.com,female,1963-10-14,2020-10-31,281,palatine,il,60067,1463,w winnetka street,188,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,727,Baclofen tablet 50 mg 10 pcs,29,Muscle relaxant,Relaxants,125,Boehringer Ingelheim,5686,MedPro, 905-568-3333,general@medpro.com,54.87,63.1,2,126.2
74854,2022-01-14,12:30:09,1530,Olivia Mitchell,001-374-613-8477x62981,kristinflores@gmail.com,female,1963-10-14,2020-10-31,281,palatine,il,60067,1463,w winnetka street,188,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1042,Triamcinolone cream cream 15 g,46,Topical medication,Corticosteroid,118,Bayer,5688,ReliableMeds, 123-456-7899,oficial@reliablemeds.com,35.45,43.6,2,87.2
74854,2022-01-14,12:30:09,1530,Olivia Mitchell,001-374-613-8477x62981,kristinflores@gmail.com,female,1963-10-14,2020-10-31,281,palatine,il,60067,1463,w winnetka street,188,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1117,Solifenacin tablet 100 mg 20 pcs,50,Urinary system drug,Anticholinergic,123,Gilead Sciences,5687,PharmaPlus, 278-599-3333,info@pharmaplus.com,40.31,52.0,1,52.0
74860,2022-01-14,12:42:14,767,Nicholas Green,+1-556-659-1229x080,iyoung@gmail.org,male,1967-05-21,2019-04-01,812,merced,california,95348,720,olivewood drive,377,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,479,Candesartan tablet 100 mg 60 pcs,15,Antihypertensive,Antagonist,129,Astellas Pharma,5691,MediSave, 344-654-3333,oficial@medisave.com,55.03,61.63,2,123.26
74860,2022-01-14,12:42:14,767,Nicholas Green,+1-556-659-1229x080,iyoung@gmail.org,male,1967-05-21,2019-04-01,812,merced,california,95348,720,olivewood drive,377,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,892,Secukinumab injection 400 mg 10 pcs,37,Immunomodulator,Antineoplastic,88,TrueVita Pharmaceuticals,5684,MediSupply, 777-333-1111,,12.62,15.27,3,45.81
74860,2022-01-14,12:42:14,767,Nicholas Green,+1-556-659-1229x080,iyoung@gmail.org,male,1967-05-21,2019-04-01,812,merced,california,95348,720,olivewood drive,377,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,989,Selegiline tablet 325 mg 30 pcs,43,Anti-Alzheimer's drug,Maoi,102,PrecisionRx Solutions,5691,MediSave, 344-654-3333,oficial@medisave.com,70.41,79.56,1,79.56
75126,2022-01-14,21:57:42,634,Sarah Cook,(305)301-2667x61362,bnelson@gmail.org,male,1967-10-25,2021-05-31,541,new york cty,n.y,11204,2053,66th stree,420,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,264,Cyproheptadine tablet 100 mg 100 pcs,4,Antihistamine,Antihistamine,124,Teva Pharmaceutical Industries,5681,HealthPro, 987-654-3210,oficial@healthpro.com,48.93,60.67,1,60.67
75126,2022-01-14,21:57:42,634,Sarah Cook,(305)301-2667x61362,bnelson@gmail.org,male,1967-10-25,2021-05-31,541,new york cty,n.y,11204,2053,66th stree,420,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,631,Aclidinium tablet 80 mg 10 pcs,23,Antiasthmatic,Anticholinergic,87,OmniCure Pharmaceuticals,5678,PharmaMart, 555-123-4567,oficial@pharmamart.com,35.77,43.64,1,43.64
75126,2022-01-14,21:57:42,634,Sarah Cook,(305)301-2667x61362,bnelson@gmail.org,male,1967-10-25,2021-05-31,541,new york cty,n.y,11204,2053,66th stree,420,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1011,Tilidin tablet 5 mg 10 pcs,44,Opioid,Opioid,106,NeoCure Pharmaceuticals,5681,HealthPro, 987-654-3210,oficial@healthpro.com,15.78,19.09,2,38.18
75594,2022-01-15,17:38:14,675,Layla Martin,(572)761-8955x4191,johngriffin@gmail.org,male,1976-04-11,2020-11-27,1005,hampton,virginia,23666,,big bethel road,459,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,590,Atorvastatin tablet 80 mg 40 pcs,22,Antihyperlipidemic medication,Statins,91,PrimeVital Solutions,5684,MediSupply, 777-333-1111,,10.85,14.0,2,28.0
75955,2022-01-16,08:02:40,1787,Samuel Stewart,001-690-601-2917x365,howellkristen@gmail.org,male,1976-05-04,2020-08-13,710,s diego,california,92139,,gables str,772,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,966,Teriparatide injection 400 mg 30 pcs,42,Bone density medication,Inhibitors,92,OptimaCare Pharmaceuticals,5683,CareRx, 222-888-9799,oficial@carerx.com,34.72,44.79,2,89.58
75955,2022-01-16,08:02:40,1787,Samuel Stewart,001-690-601-2917x365,howellkristen@gmail.org,male,1976-05-04,2020-08-13,710,s diego,california,92139,,gables str,772,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,1006,Butorphanol nasal spray 240 ml,44,Opioid,Opioid,110,Pfizer,5678,PharmaMart, 555-123-4567,oficial@pharmamart.com,26.4,29.57,2,59.14
76004,2022-01-16,09:54:22,1706,Addison Morgan,(917)375-7853,saundersstephanie@gmail.org,male,1976-05-08,2018-03-11,220,chicago,il,60655,10425,sth harding avenue,141,48921,internet,38091,over-the-counter medicines,4202,QUICKRELIEF,8,240,Celexa tablet 250 mg 100 pcs,3,Antidepressant,Inhibitor,100,ApexCure Innovations,5688,ReliableMeds, 123-456-7899,oficial@reliablemeds.com,48.69,62.32,1,62.32
