invoice,day,time,empl_id,empl_full_name,empl_date_of_birth,empl_phone,empl_gender,empl_email,role,pharmacy_id,pharmacy,address_id,city,state,postal code,street_num,street,build_num,pharmacy_phone,pharmacy_email,registration_date,floor_space,payment_type,promotion_channel_id,promotion_channel,promotion_subcategory_id,promotion_subcategory,promotion_id,promotion,discount%,prod_id,prod_name,prod_descr,class_id,class_name,class_descr,subclass,subclass_descr,brand_id,brand_name,supplier_id,supplier,supplier_phone,supplier_email,unit_cost,unit_price,quantity,final_sales_amount
20220101-090743-116,2022-01-01,09:07:43,116,Olivia Martinez,01/10/1997,(678) 901-2345,female,6olarti799@gmail.com,administrator,37,CityRelief ,1021,hampton,virginia,23666,6,egret circle,57,(901) 234-5678,cityrelief @gmail.com,2018-04-10,48.3,,0,,13,NONE DISCOUNT,4356,NONE DISCOUNT,0,819,TIMOLOL TABLET 20 MG 60 PCS,Timolol tablet 20 mg 60 pcs is a medication used to treat glaucoma and high blood pressure by reducing the production of fluid in the eye and decreasing heart rate.,45,Beta blocker,Heart medication that blocks the effects of stress hormones.,Blocker,Heart medication that blocks the effects of stress hormones.,34,OmniHealth Sciences,5681,HealthPro, 987-654-3210,oficial@healthpro.com,43.37,48.57,3,145.71
20220101-090749-37,2022-01-01,09:07:49,37,Henry Anderson,09/26/1992,(789) 012-3456,male,nryhenr@gmail.com,seller,14,EliteHealth ,359,chicago,il,60628,454,wst 111th str,93,784490-0876,elitehealth @gmail.com,2021-03-18,50.44,card,0,,13,NONE DISCOUNT,4329,NONE DISCOUNT,0,1082,VITAMIN B3 (NIACIN) TABLET 20 MG 50 PCS,"Vitamin B3 (Niacin) tablet 20 mg 50 pcs: Essential for energy production, cell function, and overall health. Supports heart, skin, and cognitive health.",60,Vitamin,Essential nutrient for overall health and well-being.,B-complex,B-complex: Vitamin supplement with essential B vitamins for optimal health and energy.,1,MediGen Pharmaceuticals,5678,PharmaMart, 555-123-4567,oficial@pharmamart.com,36.84,40.89,1,40.89
20220101-090827-94,2022-01-01,09:08:27,94,Sophia Wilson,11/14/1994,(456) 789-0123,female,133sophiasophiaepokfwilson@gmail.com,seller,32,AceRelief ,888,suffolk,virginia,23435,133,rabey farm road,75,(456) 799-0123,acerelief @gmail.com,2018-05-10,52.25,card,0,,13,NONE DISCOUNT,4280,NONE DISCOUNT,0,45,REMERON TABLET 100 MG 100 PCS,"Remeron tablet 100 mg, 100 pcs, is a medication used to treat depression. It helps balance chemicals in the brain and improve mood.",3,Antidepressant,Mood-lifting medication that reduces symptoms of depression.,Antidepressant,Mood-lifting medications to treat depression and restore emotional balance.,31,MedVantage Labs,5682,PharmaDirect, 693059-8976,sales_department@pharmadirect.com,49.62,61.03,3,183.09
20220101-090937-67,2022-01-01,09:09:37,67,Benjamin Anderson,01/02/1990,(789) 012-3456,male,15531benja@gmail.com,administrator,23,UrbanCure ,631,la puente,ca,91744,15531,briarbank st,48,(567) 880-1234,urbancure @gmail.com,2021-02-22,50.38,cash,5,RADIO,7,PAIN MANAGEMENT SOLUTIONS,4232,POWERHOUSE PAIN MANAGEMENT DISCOUNTS,8,541,PREGABALIN CAPSULE 250 MG 30 PCS,"Pregabalin capsule 250 mg 30 pcs helps relieve nerve pain, epilepsy, and anxiety.",29,Muscle relaxant,Relieves muscle tension and spasms effectively.,Relaxants,Relaxants: Medications that promote relaxation and reduce tension and anxiety in the body.,3,LifePharma Solutions,5690,MedWorks, 777-888-0678,oficial@medworks.com,20.61,24.53,3,73.59
20220101-090950-47,2022-01-01,09:09:50,47,Jackson Anderson,01/01/1990,(789) 012-3456,male,rson@gmail.com,administrator,16,OptimaCare ,380,new york city,n.y,10468,2600 33,university avenue,65,288509-9887,optimacare @gmail.com,2017-09-27,53.63,cash,0,,13,NONE DISCOUNT,4303,NONE DISCOUNT,0,198,PROLIXIN TABLET 40 MG 20 PCS,"Prolixin tablet is a medication available in a pack of 20 pieces, with each tablet containing 40 mg.",11,Antipsychotic,"Medication for treating psychosis, including mental disorders like schizophrenia and bipolar disorder.",Antipsychotic,"Medication for treating mental illnesses & managing symptoms of psychosis, schizophrenia, bipolar disorder, & other conditions.",3,LifePharma Solutions,5680,TrustedMeds, 123-456-7890,oficial@trustedmeds.com,61.99,75.63,1,75.63
20220101-091125-87,2022-01-01,09:11:25,87,Jacob Anderson,12/31/1990,(789) 012-3456,male,corson@gmail.com,seller,30,HappyHeal ,835,rancho santa fe,california,92067,6621,lago lindo,80,(234) 587-8901,happyheal @gmail.com,2019-10-30,53.79,cash,0,,13,NONE DISCOUNT,4446,NONE DISCOUNT,0,460,MELOXICAM TABLET 250 MG 50 PCS,"Meloxicam tablet 250 mg, a nonsteroidal anti-inflammatory drug (NSAID), for pain relief and inflammation reduction. Pack of 50 pcs.",25,Antipyretic,Fever-reducing medication.,Nsaid,"NSAID: Nonsteroidal anti-inflammatory drug that reduces pain, inflammation, and fever.",35,FutureCure PharmaTech,5690,MedWorks, 777-888-0678,oficial@medworks.com,64.58,71.04,1,71.04
20220101-091125-87,2022-01-01,09:11:25,87,Jacob Anderson,12/31/1990,(789) 012-3456,male,corson@gmail.com,seller,30,HappyHeal ,835,rancho santa fe,california,92067,6621,lago lindo,80,(234) 587-8901,happyheal @gmail.com,2019-10-30,53.79,cash,0,,13,NONE DISCOUNT,4446,NONE DISCOUNT,0,526,CHLOROTHIAZIDE TABLET 200 MG 100 PCS,Chlorothiazide tablet 200 mg (100pcs) is a medication used to treat hypertension and edema.,28,Diuretic,Water pill that helps to remove excess fluid from the body.,Diuretic,Promotes increased urine production and reduces fluid retention.,16,NeoGen PharmaTech,5686,MedPro, 905-568-3333,general@medpro.com,12.18,14.98,1,14.98
20220101-091159-11,2022-01-01,09:11:59,11,Liam Davis,05/12/1993,(123) 456-7890,male,10945liamlia@gmail.com,seller,4,ApexCare ,137,unincorporated,fl,33428,10945,winding creek way,79,463333-9087,apexcare @gmail.com,2015-04-29,28.93,cash,0,,13,NONE DISCOUNT,4357,NONE DISCOUNT,0,130,AMANTADINE TABLET 80 MG 50 PCS,"Amantadine tablet 80 mg - 50 pcs: An antiviral medication used to treat and prevent influenza A, Parkinson's disease, and other conditions, available in a sizable pack.",8,Antiviral,"Inhibit viral replication, treating and preventing viral infections. ",Adamantanes,"Inhibit viral replication, treating and preventing viral infections. ",26,ApexCure Innovations,5684,MediSupply, 777-333-1111,,14.9,18.77,1,18.77
20220101-091159-11,2022-01-01,09:11:59,11,Liam Davis,05/12/1993,(123) 456-7890,male,10945liamlia@gmail.com,seller,4,ApexCare ,137,unincorporated,fl,33428,10945,winding creek way,79,463333-9087,apexcare @gmail.com,2015-04-29,28.93,cash,0,,13,NONE DISCOUNT,4357,NONE DISCOUNT,0,658,ADINAZOLA TABLET 250 MG 50 PCS,"Adinazola tablet is a 250 mg medication that comes in a pack of 50 pcs, providing effective relief from various ailments.",35,Sedative,"Reliable and calming sedative for a peaceful, restful experience.",Sedative,Calming medicine for inducing sleep and reducing anxiety.,46,AbbVie,5678,PharmaMart, 555-123-4567,oficial@pharmamart.com,31.25,35.94,3,107.82
20220101-091813-82,2022-01-01,09:18:13,82,Emma Johnson,07/27/1992,(234) 567-8901,female,maemnson@gmail.com,seller,28,RedCross ,742,oceanside,california,92057,3621.0,vis campana south,65,"(012) 305-6789, (678) 901-2345",redcross @gmail.com,2015-03-25,39.84,cash,0,,13,NONE DISCOUNT,4327,NONE DISCOUNT,0,85,ACIPHEX TABLET 400 MG 10 PCS,Aciphex tablet is a medication available in 400 mg strength. It comes in a pack of 10 tablets and is used for the treatment of certain stomach and esophagus problems.,5,Antacid,Relieves acidity and indigestion discomfort,Inhibitor,Blocks or limits the action or function of a specific enzyme or molecule.,29,VitalWave Pharmaceuticals,5690,MedWorks, 777-888-0678,oficial@medworks.com,28.39,33.5,3,100.5
20220101-091813-82,2022-01-01,09:18:13,82,Emma Johnson,07/27/1992,(234) 567-8901,female,maemnson@gmail.com,seller,28,RedCross ,742,oceanside,california,92057,3621.0,vis campana south,65,"(012) 305-6789, (678) 901-2345",redcross @gmail.com,2015-03-25,39.84,cash,0,,13,NONE DISCOUNT,4327,NONE DISCOUNT,0,363,LEVODROPROPIZINE TABLET 15 MG 20 PCS,Levodropropizine tablet 15 mg (20 pcs) is a medication that provides relief from cough and throat irritation.,20,Antitussive,Cough suppressant that relieves and controls coughing.,Antitussive,Cough suppressant medicine used to relieve or prevent coughing.,51,Boehringer Ingelheim,5684,MediSupply, 777-333-1111,,26.84,34.89,1,34.89
20220101-091816-7,2022-01-01,09:18:16,7,Noah Anderson,02/07/1990,(789) 012-3456,male,1735noahnoa@gmail.com,administrator,2,WellCare ,59,ocala,fl,34473,1735.0,sw 155th plac rd,76,574920-9333,wellcare @gmail.com,2015-03-11,45.51,cash,0,,13,NONE DISCOUNT,4401,NONE DISCOUNT,0,606,PANTOPRAZOLE TABLET 50 MG 50 PCS,Pantoprazole tablet 50 mg 50 pcs is a medication used to treat stomach ulcers and acid reflux by reducing the production of stomach acid.,33,Proton pump inhibitor,Anti-acid medication that reduces stomach acid production.,Inhibitor,Inhibitor: Limits or prevents a specific activity or process.,10,AdvancedHealth Pharma,5684,MediSupply, 777-333-1111,,35.38,44.93,1,44.93
20220101-091952-80,2022-01-01,09:19:52,80,Olivia Brown,05/03/1991,(012) 345-6789,female,olwn@gmail.com,administrator,27,StarCure ,703,pleasanton,california,94588,,stoneridge ml roa,67,(901) 234-5678,starcure @gmail.com,2017-09-22,54.46,card,0,,13,NONE DISCOUNT,4364,NONE DISCOUNT,0,167,PHENYTOIN TABLET 50 MG 50 PCS,Phenytoin tablet 50 mg 50 pcs is a medication used to control seizures and treat epilepsy.,10,Anticonvulsant,Medication to control and prevent seizures.,Anticonvulsant,Seizure-suppressing medication to treat and prevent convulsions.,26,ApexCure Innovations,5683,CareRx, 222-888-9799,oficial@carerx.com,6.21,7.33,2,14.66
20220101-092023-42,2022-01-01,09:20:23,42,Emily Johnson,07/28/1992,(234) 567-8901,female,5407emilyemson@gmail.com,seller,15,DailyDose ,370,chicago,il,60632,5407.0,south mozart stre,25,857380-9875,dailydose @gmail.com,2020-07-25,38.36,card,0,,13,NONE DISCOUNT,4262,NONE DISCOUNT,0,796,CODEINE TABLET 325 MG 10 PCS,Codeine tablet (325 mg) is a pain reliever that helps relieve mild to moderate pain. This pack contains 10 tablets.,44,Opioid,Pain-relieving drugs that can be highly addictive and lead to opioid abuse and overdose.,Opioid,Powerful painkillers often prescribed for managing severe pain but highly addictive and potentially dangerous.,44,Bayer,5686,MedPro, 905-568-3333,general@medpro.com,36.27,42.8,3,128.4
20220101-092039-15,2022-01-01,09:20:39,15,Daniel Thompson,06/02/1990,(567) 890-1234,male,222danieldapson@gmail.com,seller,6,MedicoHub ,168,lakeland,fl,33801,222,john carroll rd e,30,357889-9076,medicohub @gmail.com,2020-08-24,27.96,cash,0,,13,NONE DISCOUNT,4286,NONE DISCOUNT,0,650,CLONAZEPAM TABLET 5 MG 10 PCS,Clonazepam tablet is a medication available in 5 mg strength. It comes in a pack of 10 tablets used to treat anxiety and seizures.,35,Sedative,"Reliable and calming sedative for a peaceful, restful experience.",Benzodiazepine,"An addictive sedative used to treat anxiety, insomnia, and seizures.",35,FutureCure PharmaTech,5686,MedPro, 905-568-3333,general@medpro.com,6.45,7.29,1,7.29
20220101-092046-66,2022-01-01,09:20:46,66,Amelia Martinez,06/17/1994,(678) 901-2345,female,amelia@gmail.com,seller,22,ClearChoice ,506,new york city,n.y,11378,59-03,maspeth avenue,59,(456) 789-0123,clearchoice @gmail.com,2018-12-06,57.2,card,0,,13,NONE DISCOUNT,4412,NONE DISCOUNT,0,155,SITAGLIPTIN TABLET 10 MG 30 PCS,Sitagliptin tablet 10 mg 30 pcs is a medication used to treat type 2 diabetes. It helps to control blood sugar levels by increasing the release of insulin and decreasing glucose production in the liver.,9,Antidiabetic medication,Controls blood glucose levels in people with diabetes.,Inhibitor,Reduces or stops the activity of a substance or process.,19,SunHealth Innovations,5687,PharmaPlus, 278-599-3333,info@pharmaplus.com,18.91,22.88,1,22.88
20220101-092046-66,2022-01-01,09:20:46,66,Amelia Martinez,06/17/1994,(678) 901-2345,female,amelia@gmail.com,seller,22,ClearChoice ,506,new york city,n.y,11378,59-03,maspeth avenue,59,(456) 789-0123,clearchoice @gmail.com,2018-12-06,57.2,card,0,,13,NONE DISCOUNT,4412,NONE DISCOUNT,0,382,ABCIXIMAB TABLET 10 MG 50 PCS,"Abciximab tablet is a medication available in a pack of 50 pieces, each containing 10 mg of the active ingredient.",21,Antiplatelet agent,Medication that prevents blood clotting and reduces the risk of heart attack and stroke.,Inhibitor,Prevents or slows down a specific chemical reaction.,29,VitalWave Pharmaceuticals,5678,PharmaMart, 555-123-4567,oficial@pharmamart.com,23.1,25.64,2,51.28
20220101-092046-66,2022-01-01,09:20:46,66,Amelia Martinez,06/17/1994,(678) 901-2345,female,amelia@gmail.com,seller,22,ClearChoice ,506,new york city,n.y,11378,59-03,maspeth avenue,59,(456) 789-0123,clearchoice @gmail.com,2018-12-06,57.2,card,0,,13,NONE DISCOUNT,4412,NONE DISCOUNT,0,707,LUBIPROSTONE CAPSULE 10 MG 30 PCS,"Lubiprostone capsule is a medication available in a pack of 30pcs, each containing 10mg, used for the treatment of certain gastrointestinal conditions.",38,Gastrointestinal stimulant,"Stimulates gastrointestinal activity, including motility and secretion.",Laxative,Fast-acting relief from constipation,25,LifeSpring Pharma,5689,VitalHealth, 356-333-1011,marketing@vitalhealth.com,44.86,58.32,2,116.64
20220101-092054-1,2022-01-01,09:20:54,1,Jacob Thompson,01/10/1995,(123) 456-7890,male,5620jaco@gmail.com,seller,1,HealthLink ,31,jacksonville,fl,32244,5620,collins rd,68,833375-9858,healthlink @gmail.com,2015-01-14,59.11,cash,0,,13,NONE DISCOUNT,4279,NONE DISCOUNT,0,474,SALMETEROL INHALER 2 PCS,"Salmeterol inhaler - 2 pcs, commonly used for long-term treatment of asthma and chronic obstructive pulmonary disease (COPD), providing relief by relaxing the airways.",26,Bronchodilator,"Medication that relaxes the muscles in the airways, expanding them and making breathing easier.",Anticholinergic,"Anticholinergic: Blocks activity of acetylcholine, reducing its effects on the nervous system and various organs.",19,SunHealth Innovations,5688,ReliableMeds, 123-456-7899,oficial@reliablemeds.com,12.23,13.82,3,41.46
20220101-092054-1,2022-01-01,09:20:54,1,Jacob Thompson,01/10/1995,(123) 456-7890,male,5620jaco@gmail.com,seller,1,HealthLink ,31,jacksonville,fl,32244,5620,collins rd,68,833375-9858,healthlink @gmail.com,2015-01-14,59.11,cash,0,,13,NONE DISCOUNT,4279,NONE DISCOUNT,0,938,MORPHINE TABLET 400 MG 100 PCS,"Morphine tablet 400 mg 100 pcs: A powerful analgesic medication used to relieve severe pain, available in a bulk pack of 100 tablets.",51,Central nervous system drug,"Powerful drug affecting the central nervous system, altering brain function and neurotransmitter activity.",Opioid,Powerful painkillers with high risk of addiction.,35,FutureCure PharmaTech,5690,MedWorks, 777-888-0678,oficial@medworks.com,18.4,20.61,3,61.83
20220101-092129-14,2022-01-01,09:21:29,14,Charlotte Wilson,11/19/1994,(456) 789-0123,female,222charlotkfwilson@gmail.com,seller,6,MedicoHub ,168,lakeland,fl,33801,222,john carroll rd e,30,357889-9076,medicohub @gmail.com,2020-08-24,27.96,cash,0,,13,NONE DISCOUNT,4377,NONE DISCOUNT,0,499,BECLOMETHASONE NASAL SPRAY 60 ML,"Beclomethasone nasal spray, 60 ml, helps relieve nasal congestion and inflammation caused by allergies and nasal polyps.",27,Corticosteroid,Powerful anti-inflammatory drugs used to treat a variety of conditions.,Corticosteroid,"Anti-inflammatory drug for treating a variety of conditions, including allergies, asthma, and autoimmune disorders.",10,AdvancedHealth Pharma,5682,PharmaDirect, 693059-8976,sales_department@pharmadirect.com,38.87,43.92,2,87.84
20220101-092129-14,2022-01-01,09:21:29,14,Charlotte Wilson,11/19/1994,(456) 789-0123,female,222charlotkfwilson@gmail.com,seller,6,MedicoHub ,168,lakeland,fl,33801,222,john carroll rd e,30,357889-9076,medicohub @gmail.com,2020-08-24,27.96,cash,0,,13,NONE DISCOUNT,4377,NONE DISCOUNT,0,1060,IOVERSOL TABLET 40 MG 50 PCS,"Ioversol is a tablet medication with a strength of 40 mg, supplied in a pack of 50 pcs.",59,Contrast agent,Dye injected into the body for clearer medical imaging,Agent,Dye injected into the body for clearer medical imaging,20,PureLife Labs,5686,MedPro, 905-568-3333,general@medpro.com,64.46,76.71,1,76.71
20220101-092240-26,2022-01-01,09:22:40,26,Charlotte Martinez,06/20/1994,(678) 901-2345,female,martinez@gmail.com,seller,10,MedWise ,227,evanston,il,60201,2303,dempster street,24,"857332-7888, 857483-0866",medwise @gmail.com,2015-01-04,41.87,card,0,,13,NONE DISCOUNT,4341,NONE DISCOUNT,0,1008,STREPTOMYCIN TABLET 15 MG 100 PCS,"Streptomycin 15mg tablets, available in a pack of 100, used to treat bacterial infections effectively.",55,Antituberculosis drug,TB drug that kills bacteria and helps in treating tuberculosis.,Aminoglycoside,Potent antibiotics that target gram-negative bacteria by hindering protein synthesis.,28,PrecisionRx Solutions,5678,PharmaMart, 555-123-4567,oficial@pharmamart.com,57.04,66.74,2,133.48
20220101-092312-116,2022-01-01,09:23:12,116,Olivia Martinez,01/10/1997,(678) 901-2345,female,6olarti799@gmail.com,administrator,37,CityRelief ,1021,hampton,virginia,23666,6,egret circle,57,(901) 234-5678,cityrelief @gmail.com,2018-04-10,48.3,card,0,,13,NONE DISCOUNT,4312,NONE DISCOUNT,0,499,BECLOMETHASONE NASAL SPRAY 60 ML,"Beclomethasone nasal spray, 60 ml, helps relieve nasal congestion and inflammation caused by allergies and nasal polyps.",27,Corticosteroid,Powerful anti-inflammatory drugs used to treat a variety of conditions.,Corticosteroid,"Anti-inflammatory drug for treating a variety of conditions, including allergies, asthma, and autoimmune disorders.",10,AdvancedHealth Pharma,5690,MedWorks, 777-888-0678,oficial@medworks.com,35.2,42.59,2,85.18
20220101-092431-37,2022-01-01,09:24:31,37,Henry Anderson,09/26/1992,(789) 012-3456,male,nryhenr@gmail.com,seller,14,EliteHealth ,359,chicago,il,60628,454,wst 111th str,93,784490-0876,elitehealth @gmail.com,2021-03-18,50.44,card,0,,13,NONE DISCOUNT,4291,NONE DISCOUNT,0,479,IPRATROPIUM SOLUTION 200 ML,Ipratropium solution 200 ml is a medication that helps relieve symptoms of respiratory conditions such as asthma or chronic obstructive pulmonary disease (COPD).,26,Bronchodilator,"Medication that relaxes the muscles in the airways, expanding them and making breathing easier.",Anticholinergic,"Anticholinergic: Blocks activity of acetylcholine, reducing its effects on the nervous system and various organs.",6,PrecisionMed Laboratories,5683,CareRx, 222-888-9799,oficial@carerx.com,16.91,19.28,1,19.28
20220101-092445-3,2022-01-01,09:24:45,3,Michael Smith,08/05/1996,(345) 678-9012,male,5620micha@gmail.com,administrator,1,HealthLink ,31,jacksonville,fl,32244,5620,collins rd,68,833375-9858,healthlink @gmail.com,2015-01-14,59.11,cash,0,,13,NONE DISCOUNT,4264,NONE DISCOUNT,0,154,MIGLITOL TABLET 20 MG 60 PCS,"Miglitol tablet 20 mg, with 60 pcs, is a medication used to treat type 2 diabetes. It helps control blood sugar levels, making it easier to manage the condition.",9,Antidiabetic medication,Controls blood glucose levels in people with diabetes.,Inhibitors,Reduces or stops the activity of a substance or process.,48,Novo Nordisk,5686,MedPro, 905-568-3333,general@medpro.com,23.11,27.5,2,55.0
